,Name,vCPU,"RAM, GB","HDD storage, GB","SSD storage, GB","Catalyst price per hour, INR (ex GST)","AWS price per hour, INR (ex GST)","Azure price per hour, INR (ex GST)"
0,m5a.8xlarge,32.0,128.0,0.0,0.0,2.271251420365443,125.36040902399999,2.271251420365443
1,m6g.8xlarge,32.0,128.0,0.0,0.0,2.271251420365443,111.431474688,2.271251420365443
2,t4g.xlarge,4.0,16.0,0.0,0.0,0.36267603868962,12.303891996800001,0.36267603868962
3,m4.10xlarge,40.0,160.0,0.0,0.0,2.8165586722728206,0.0,2.8165586722728206
4,m6gd.4xlarge,16.0,64.0,0.0,950.0,1.180636916550687,66.162438096,1.180636916550687
5,m5a.8xlarge,32.0,128.0,0.0,0.0,2.271251420365443,125.36040902399999,2.271251420365443
6,t3a.small,2.0,2.0,0.0,0.0,0.16197702555141075,1.7266074854,0.16197702555141075
7,m4.16xlarge,64.0,256.0,0.0,0.0,4.452480427994955,0.0,4.452480427994955
8,m5zn.3xlarge,12.0,48.0,0.0,0.0,0.907983290596998,89.88515438700001,0.907983290596998
9,t4g.small,2.0,2.0,0.0,0.0,0.16197702555141075,1.5379864996000001,0.16197702555141075
10,m6gd.8xlarge,32.0,128.0,0.0,1900.0,2.271251420365443,132.324876192,2.271251420365443
11,m5d.4xlarge,16.0,64.0,0.0,600.0,1.180636916550687,0.0,1.180636916550687
12,m5ad.16xlarge,64.0,256.0,0.0,2400.0,4.452480427994955,0.0,4.452480427994955
13,m5.2xlarge,8.0,32.0,0.0,0.0,0.635329664643309,34.822335839999994,0.635329664643309
14,m5zn.xlarge,4.0,16.0,0.0,0.0,0.36267603868962,29.961718129,0.36267603868962
15,m5ad.large,2.0,8.0,0.0,75.0,0.22634922571277552,9.43104929,0.22634922571277552
16,m6gd.medium,1.0,4.0,0.0,59.0,0.15818581922435326,0.0,0.15818581922435326
17,t3.xlarge,4.0,16.0,0.0,0.0,0.36267603868962,15.3218277696,0.36267603868962
18,m6g.xlarge,4.0,16.0,0.0,0.0,0.36267603868962,0.0,0.36267603868962
19,m4.large,2.0,8.0,0.0,0.0,0.22634922571277552,9.068316625,0.22634922571277552
20,m5ad.xlarge,4.0,16.0,0.0,150.0,0.36267603868962,18.86209858,0.36267603868962
21,m4.xlarge,4.0,16.0,0.0,0.0,0.36267603868962,0.0,0.36267603868962
22,m6gd.2xlarge,8.0,32.0,0.0,475.0,0.635329664643309,33.081219048,0.635329664643309
23,t4g.medium,2.0,4.0,0.0,0.0,0.18343442560519901,3.0759729992000002,0.18343442560519901
24,a1.4xlarge,16.0,32.0,0.0,0.0,0.8373185156900749,38.6527927824,0.8373185156900749
26,m4.2xlarge,8.0,32.0,0.0,0.0,0.635329664643309,0.0,0.635329664643309
27,m6gd.large,2.0,8.0,0.0,118.0,0.22634922571277552,0.0,0.22634922571277552
28,m5ad.8xlarge,32.0,128.0,0.0,1200.0,2.271251420365443,150.89678864,2.271251420365443
29,m5.4xlarge,16.0,64.0,0.0,0.0,1.180636916550687,69.64467167999999,1.180636916550687
30,m5a.16xlarge,64.0,256.0,0.0,0.0,4.452480427994955,250.72081804799998,4.452480427994955
31,t4g.2xlarge,8.0,32.0,0.0,0.0,0.635329664643309,24.607783993600002,0.635329664643309
32,t2.micro,1.0,1.0,0.0,0.0,0.1259997191436709,1.0591793818000002,0.1259997191436709
33,m5ad.xlarge,4.0,16.0,0.0,150.0,0.36267603868962,18.86209858,0.36267603868962
34,m5d.16xlarge,64.0,256.0,0.0,2400.0,4.452480427994955,329.651445952,4.452480427994955
35,m4.10xlarge,40.0,160.0,0.0,0.0,2.8165586722728206,181.3663325,2.8165586722728206
36,t2.medium,2.0,4.0,0.0,0.0,0.18343442560519901,0.0,0.18343442560519901
37,m5.12xlarge,48.0,192.0,0.0,0.0,3.361865924180199,208.93401504,3.361865924180199
38,a1.2xlarge,8.0,16.0,0.0,0.0,0.46367046421300295,19.3263963912,0.46367046421300295
39,m5zn.large,2.0,8.0,0.0,0.0,0.22634922571277552,14.9808590645,0.22634922571277552
40,m6gd.large,2.0,8.0,0.0,118.0,0.22634922571277552,8.270304762,0.22634922571277552
41,m6g.2xlarge,8.0,32.0,0.0,0.0,0.635329664643309,27.857868672,0.635329664643309
42,t3.large,2.0,8.0,0.0,0.0,0.22634922571277552,0.0,0.22634922571277552
43,t3.micro,2.0,1.0,0.0,0.0,0.1512483255245166,0.9576142356,0.1512483255245166
44,t4g.medium,2.0,4.0,0.0,0.0,0.18343442560519901,3.0759729992000002,0.18343442560519901
45,t3a.2xlarge,8.0,32.0,0.0,0.0,0.635329664643309,27.582191846599997,0.635329664643309
46,m5.xlarge,4.0,16.0,0.0,0.0,0.36267603868962,17.411167919999997,0.36267603868962
47,t3.small,2.0,2.0,0.0,0.0,0.16197702555141075,0.0,0.16197702555141075
48,m5a.xlarge,4.0,16.0,0.0,0.0,0.36267603868962,15.670051127999999,0.36267603868962
49,m5d.xlarge,4.0,16.0,0.0,150.0,0.36267603868962,0.0,0.36267603868962
50,m4.large,2.0,8.0,0.0,0.0,0.22634922571277552,0.0,0.22634922571277552
51,m5.xlarge,4.0,16.0,0.0,0.0,0.36267603868962,0.0,0.36267603868962
52,m5.8xlarge,32.0,128.0,0.0,0.0,2.271251420365443,0.0,2.271251420365443
53,m5ad.large,2.0,8.0,0.0,75.0,0.22634922571277552,9.43104929,0.22634922571277552
54,t2.micro,1.0,1.0,0.0,0.0,0.1259997191436709,0.0,0.1259997191436709
55,t4g.small,2.0,2.0,0.0,0.0,0.16197702555141075,0.0,0.16197702555141075
56,a1.xlarge,4.0,8.0,0.0,0.0,0.276846438474467,0.0,0.276846438474467
57,t3a.2xlarge,8.0,32.0,0.0,0.0,0.635329664643309,27.582191846599997,0.635329664643309
58,m5.large,2.0,8.0,0.0,0.0,0.22634922571277552,0.0,0.22634922571277552
59,t2.large,2.0,8.0,0.0,0.0,0.22634922571277552,8.473435054400001,0.22634922571277552
60,t4g.large,2.0,8.0,0.0,0.0,0.22634922571277552,0.0,0.22634922571277552
61,m6g.xlarge,4.0,16.0,0.0,0.0,0.36267603868962,13.928934336,0.36267603868962
